feature,importance
bert_dim_692,0.0004957198886342622
bert_dim_370,0.0004954775077212235
bert_dim_746,0.0004950155759949195
bert_dim_415,0.0004948528130128437
bert_dim_221,0.0004941371446441802
bert_dim_425,0.0004940658307163103
bert_dim_373,0.0004939390670515786
bert_dim_207,0.0004935477950893638
bert_dim_495,0.0004932616507066366
bert_dim_106,0.0004922453478230698
bert_dim_91,0.0004919186838224618
bert_dim_20,0.0004919023107726472
bert_dim_728,0.0004909254418810577
bert_dim_525,0.0004906711121058433
bert_dim_645,0.0004904705887061621
bert_dim_27,0.000490228406854429
bert_dim_450,0.0004900846627011041
bert_dim_764,0.0004890679244373356
bert_dim_384,0.0004889598017009285
bert_dim_685,0.0004887361963858892
bert_dim_542,0.0004882665260308258
bert_dim_474,0.0004880156679358018
bert_dim_64,0.00048782050693904345
bert_dim_241,0.00048675229887259493
bert_dim_228,0.00048618207494738184
bert_dim_433,0.0004852654111889125
bert_dim_693,0.00048525207154046857
bert_dim_638,0.0004851090159803886
bert_dim_394,0.0004847088665026655
bert_dim_337,0.0004843315378011417
bert_dim_266,0.000484209420813755
bert_dim_335,0.0004832837225201831
bert_dim_369,0.00048294193815957224
bert_dim_444,0.00048234575551796944
bert_dim_131,0.00048191877007808617
bert_dim_530,0.0004818425242219862
bert_dim_571,0.00048018616862522594
bert_dim_754,0.0004799197475203462
bert_dim_483,0.00047990630331301343
bert_dim_149,0.00047941970137001916
bert_dim_68,0.00047939976484382736
bert_dim_204,0.0004784453621108327
bert_dim_21,0.00047808358516265983
bert_dim_702,0.00047797495999245515
bert_dim_715,0.00047792367633732815
bert_dim_560,0.00047594394895379217
bert_dim_363,0.00047592096992666205
bert_dim_420,0.0004752038428135893
bert_dim_294,0.0004746064396136351
bert_dim_368,0.0004745673414415877
bert_dim_138,0.0004744257097160766
bert_dim_747,0.00047424465133630924
bert_dim_541,0.00047390532727930923
bert_dim_467,0.000473877664083479
bert_dim_761,0.0004734896352429139
bert_dim_386,0.00047339222251648256
bert_dim_166,0.0004727784826332281
bert_dim_184,0.000472770453993178
bert_dim_98,0.00047167461452872337
bert_dim_517,0.0004716562706848256
bert_dim_111,0.0004711871392593485
bert_dim_154,0.0004708253153891182
bert_dim_226,0.0004706150446578527
bert_dim_206,0.00047049759672949145
bert_dim_664,0.0004702929904664331
bert_dim_631,0.0004696965441029533
bert_dim_423,0.0004694953317840166
bert_dim_104,0.0004691380374036275
bert_dim_455,0.0004690602080537881
bert_dim_547,0.0004687025623955057
bert_dim_70,0.0004685961433255957
bert_dim_306,0.0004684335327734397
bert_dim_590,0.00046795101909383185
bert_dim_551,0.0004678812663388727
bert_dim_690,0.00046754646958203396
bert_dim_673,0.0004668791736306728
bert_dim_466,0.00046591997807422575
bert_dim_617,0.00046588966871356357
bert_dim_555,0.0004648501142243698
bert_dim_36,0.00046471600807560773
bert_dim_625,0.00046449531102433014
bert_dim_449,0.000464433229206928
bert_dim_303,0.0004642131777774159
bert_dim_156,0.0004640726097356912
bert_dim_691,0.00046373554921300304
bert_dim_232,0.0004634672869615188
bert_dim_516,0.00046268839038898156
bert_dim_671,0.0004623215367883325
bert_dim_354,0.00046194181156708643
bert_dim_608,0.00046044298134088153
bert_dim_648,0.0004602564049502507
bert_dim_8,0.00045950872723424615
bert_dim_681,0.0004593457333851995
bert_dim_326,0.00045919575389904895
bert_dim_284,0.0004591358620730308
bert_dim_441,0.0004589002307434191
bert_dim_686,0.0004586216607797952
bert_dim_447,0.0004578995767675263
bert_dim_177,0.0004578116477038908
bert_dim_559,0.0004574920959736072
bert_dim_674,0.0004573642870988799
bert_dim_343,0.00045671958630810934
bert_dim_443,0.00045647986512286774
bert_dim_735,0.00045564019508118715
bert_dim_12,0.0004545843027807448
bert_dim_737,0.0004545794921100857
bert_dim_199,0.0004544522443873214
bert_dim_126,0.00045394634385515674
bert_dim_616,0.0004538567430907075
bert_dim_333,0.00045331700823016385
bert_dim_366,0.0004530848652412804
bert_dim_432,0.0004521479212557663
bert_dim_191,0.00045149291752786375
bert_dim_283,0.00045114545751745656
bert_dim_599,0.00045098082388673186
bert_dim_109,0.00045058849192038423
bert_dim_633,0.0004498765363462761
bert_dim_223,0.0004489263626118996
bert_dim_543,0.00044793775695769377
bert_dim_115,0.0004476998699600647
bert_dim_129,0.00044763447175241125
bert_dim_216,0.0004467685808592983
bert_dim_187,0.0004463719966452621
bert_dim_295,0.0004453671287764687
bert_dim_404,0.0004452662878224743
bert_dim_15,0.0004451587674181926
bert_dim_478,0.0004447062091996235
bert_dim_86,0.00044437057672189493
bert_dim_712,0.00044374141621550585
bert_dim_711,0.00044176634861647603
bert_dim_365,0.0004412403699324297
bert_dim_290,0.000440677366594122
bert_dim_141,0.000440353395021431
bert_dim_736,0.0004403509258675399
bert_dim_464,0.0004399763788769412
bert_dim_556,0.0004397861860811685
bert_dim_323,0.0004392146531119544
bert_dim_396,0.0004386764234931606
bert_dim_723,0.00043865079107616834
bert_dim_738,0.0004385922673821893
bert_dim_74,0.00043823367249626154
bert_dim_186,0.00043771898891287886
bert_dim_481,0.0004367619940291988
bert_dim_350,0.00043641097196499306
bert_dim_153,0.00043537260377604273
bert_dim_271,0.00043537007509402315
bert_dim_367,0.00043536831845549634
bert_dim_162,0.00043426461686000867
bert_dim_56,0.00043369244880433013
bert_dim_217,0.0004336093188392261
bert_dim_79,0.00043359425187429576
bert_dim_158,0.0004327088216628865
bert_dim_307,0.00043203423766966984
bert_dim_11,0.0004319575847549372
bert_dim_24,0.00043184817639052857
bert_dim_528,0.00043178512012884065
bert_dim_492,0.0004312982960054338
bert_dim_731,0.0004306671304321947
bert_dim_579,0.00043059165351117483
bert_dim_553,0.00042970849324605695
bert_dim_630,0.0004296778603852054
bert_dim_236,0.00042964916340295734
bert_dim_114,0.00042943791625557094
bert_dim_140,0.00042899250153590276
bert_dim_744,0.0004281180239034115
bert_dim_567,0.0004279280640033463
bert_dim_315,0.0004277652191455555
bert_dim_437,0.0004275427365875331
bert_dim_103,0.0004263315661399928
bert_dim_758,0.0004259230054160049
bert_dim_537,0.00042499120009432435
bert_dim_505,0.00042498375211176494
bert_dim_718,0.0004241320616586301
bert_dim_726,0.00042393334153381575
bert_dim_452,0.0004230911041958687
bert_dim_31,0.00042299212292392193
